list-card-addr,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-link href 2
"13780 76th Ave #303, Surrey, BC V3W 1E5","C$439,000",2,bds,2,ba,870,sqft,https://www.zillow.com/homedetails/13780-76th-Ave-303-Surrey-BC-V3W-1E5/2068567727_zpid/
"12160 80th Ave #210, Surrey, BC V3W 0V3","C$339,000",1,bd,1,ba,585,sqft,https://www.zillow.com/homedetails/12160-80th-Ave-210-Surrey-BC-V3W-0V3/2068428481_zpid/
"13728 108th Ave #318, Surrey, BC V3T 0G2","C$338,000",1,bd,1,ba,431,sqft,https://www.zillow.com/homedetails/13728-108th-Ave-318-Surrey-BC-V3T-0G2/2069061286_zpid/
"10082 148th St #2304, Surrey, BC V3R 0S3","C$969,800",3,bds,2,ba,"1,730",sqft,https://www.zillow.com/homedetails/10082-148th-St-2304-Surrey-BC-V3R-0S3/2068488371_zpid/
"13655 Fraser Hwy #309, Surrey, BC V3T 4J3","C$628,000",2,bds,2,ba,809,sqft,https://www.zillow.com/homedetails/13655-Fraser-Hwy-309-Surrey-BC-V3T-4J3/2069270625_zpid/
"13978 Fraser Hwy #302, Surrey, BC V3T 4E7","C$499,000",2,bds,1,ba,673,sqft,https://www.zillow.com/homedetails/13978-Fraser-Hwy-302-Surrey-BC-V3T-4E7/2069744395_zpid/
"13339 102a Ave #213, Surrey, BC V3T 0C5","C$375,000",Studio,ba,1,sqft,474,,https://www.zillow.com/homedetails/13339-102a-Ave-213-Surrey-BC-V3T-0C5/2072251542_zpid/
"14418 72nd Ave #B212, Surrey, BC V3S 2E7","C$449,000",1,bd,1,ba,686,sqft,https://www.zillow.com/homedetails/14418-72nd-Ave-B212-Surrey-BC-V3S-2E7/2067946055_zpid/
"13308 Central Ave #3406, Surrey, BC V3T 0M4","C$649,000",2,bds,2,ba,850,sqft,https://www.zillow.com/homedetails/13308-Central-Ave-3406-Surrey-BC-V3T-0M4/2075250420_zpid/
"13733 107a Ave #327, Surrey, BC V3T 0B7","C$499,800",2,bds,2,ba,"1,053",sqft,https://www.zillow.com/homedetails/13733-107a-Ave-327-Surrey-BC-V3T-0B7/2067948816_zpid/
"15168 33rd Ave #416, Surrey, BC V3Z 0N7","C$579,900",2,bds,2,ba,850,sqft,https://www.zillow.com/homedetails/15168-33rd-Ave-416-Surrey-BC-V3Z-0N7/2067950155_zpid/
"13380 108th Ave #506, Surrey, BC V3T 0E7","C$349,800",1,bd,1,ba,484,sqft,https://www.zillow.com/homedetails/13380-108th-Ave-506-Surrey-BC-V3T-0E7/2067956204_zpid/
"12125 75a Ave #410, Surrey, BC V3W 1B9","C$599,900",2,bds,--,ba,"1,550",sqft,https://www.zillow.com/homedetails/12125-75a-Ave-410-Surrey-BC-V3W-1B9/2068430517_zpid/
"13615 Fraser Hwy #2402, Surrey, BC V3T 2V6","C$468,800",1,bd,1,ba,530,sqft,https://www.zillow.com/homedetails/13615-Fraser-Hwy-2402-Surrey-BC-V3T-2V6/2067960001_zpid/
"13228 Old Yale Rd #302, Surrey, BC V3T 0K3","C$375,000",1,bd,1,ba,557,sqft,https://www.zillow.com/homedetails/13228-Old-Yale-Rd-302-Surrey-BC-V3T-0K3/2067962099_zpid/
"8110 120a St #101, Surrey, BC V3W 3P3","C$499,000",2,bds,2,ba,845,sqft,https://www.zillow.com/homedetails/8110-120a-St-101-Surrey-BC-V3W-3P3/2067962939_zpid/
"10616 132nd St #114, Surrey, BC V3T 3T7","C$389,900",Studio,ba,1,sqft,421,,https://www.zillow.com/homedetails/10616-132nd-St-114-Surrey-BC-V3T-3T7/2069185111_zpid/
"13380 108th Ave #109, Surrey, BC V3T 0E7","C$499,000",2,bds,2,ba,801,sqft,https://www.zillow.com/homedetails/13380-108th-Ave-109-Surrey-BC-V3T-0E7/2068737963_zpid/
"10616 132nd St #115, Surrey, BC V3T 3T7","C$499,900",1,bd,1,ba,421,sqft,https://www.zillow.com/homedetails/10616-132nd-St-115-Surrey-BC-V3T-3T7/2069188751_zpid/
"12633 72nd Ave #217, Surrey, BC V3W 0A4","C$499,000",2,bds,2,ba,"1,331",sqft,https://www.zillow.com/homedetails/12633-72nd-Ave-217-Surrey-BC-V3W-0A4/2071518493_zpid/
"15322 101st Ave #302, Surrey, BC V3R 4G9","C$619,000",3,bds,2,ba,"1,179",sqft,https://www.zillow.com/homedetails/15322-101st-Ave-302-Surrey-BC-V3R-4G9/2072222985_zpid/
"14418 72nd Ave #A405, Surrey, BC V3S 2E7","C$425,000",1,bd,1,ba,552,sqft,https://www.zillow.com/homedetails/14418-72nd-Ave-A405-Surrey-BC-V3S-2E7/2069313513_zpid/
"13380 108th Ave #304, Surrey, BC V3T 0E7","C$408,800",1,bd,1,ba,569,sqft,https://www.zillow.com/homedetails/13380-108th-Ave-304-Surrey-BC-V3T-0E7/2071732788_zpid/
"3535 146a St #109, Surrey, BC V4P 1B1","C$868,000",2,bds,2,ba,"1,300",sqft,https://www.zillow.com/homedetails/3535-146a-St-109-Surrey-BC-V4P-1B1/2076463082_zpid/
"13428 105th Ave #1604, Surrey, BC V3T 1Z4","C$741,900",2,bds,2,ba,850,sqft,https://www.zillow.com/homedetails/13428-105th-Ave-1604-Surrey-BC-V3T-1Z4/2068468136_zpid/
